Number,Name,Days,Time,Room,Instructor,Available,Description,General Ed,Distribution Req,Course Materials,Notes
PHYS 120-01,Astronomical Techniques,Days: M,Time: 07:00 pm-10:00 pm,Room: OLRI 404,Instructor: Anna Williams,Avail./Max.: 16 / 16,"This laboratory course provides active exercises in astronomical measurement techniques, including telescope and other observations of the night sky (as weather permits). The course is ideal for students who desire hands-on observing experience to complementÂ PHYS 113, or as a background for advanced observing projects. Prerequisite(s): concurrent or previous registration in PHYS 113  or PHYS 226.",[],['Natural science and mathematics'],https://www.bkstr.com/webApp/discoverView?bookstore_id-1=1306&term_id-1=202110&div-1=&dept-1=PHYS&course-1=120&section-1=01,
PHYS 194-01,Science of Sustainable Design,Days: M W F,Time: 12:00 pm-01:00 pm,Room: OLRI 101,Instructor: James Doyle,Avail./Max.: 16 / 16,Varies by semester. Consult the department or class schedule for current listing.,['Writing WA'],[],https://www.bkstr.com/webApp/discoverView?bookstore_id-1=1306&term_id-1=202110&div-1=&dept-1=PHYS&course-1=194&section-1=01,*First-Year Course only; cross-listed with ENVI 194-03*
PHYS 194-L1,Sustainable Design Lab,Days:  T,Time: 01:20 pm-04:30 pm,Room:,Instructor: James Doyle,Avail./Max.: 16 / 16,Varies by semester. Consult the department or class schedule for current listing.,[],[],https://www.bkstr.com/webApp/discoverView?bookstore_id-1=1306&term_id-1=202110&div-1=&dept-1=PHYS&course-1=194&section-1=L1,*First-Year Course only; cross-listed with ENVI 194-L1*
PHYS 226-01,Principles of Physics I,Days: M W F,Time: 09:40 am-10:40 am,Room:,Instructor: Anna Williams,Avail./Max.: 63 / 63,"A study of motion, including Newton's Law of Motion, conservation of energy and momentum, rotational kinematics and dynamics, oscillations, waves in elastic media and thermal properties of matter. Three lectures and one two-hour laboratory per week. Students cannot receive credit for both this course and PHYS 221. Prerequisite(s): Concurrent or previous registration in MATH 135 or MATH 137; or a 4 or 5 on the Advanced Placement AB or BC Calculus exam.",[],['Natural science and mathematics'],https://www.bkstr.com/webApp/discoverView?bookstore_id-1=1306&term_id-1=202110&div-1=&dept-1=PHYS&course-1=226&section-1=01,
PHYS 226-L1,Principles of Physics I,Days: M,Time: 02:20 pm-04:20 pm,Room: OLRI 152,Instructor: Brian Adams,Avail./Max.: 16 / 16,"A study of motion, including Newton's Law of Motion, conservation of energy and momentum, rotational kinematics and dynamics, oscillations, waves in elastic media and thermal properties of matter. Three lectures and one two-hour laboratory per week. Students cannot receive credit for both this course and PHYS 221. Prerequisite(s): Concurrent or previous registration in MATH 135 or MATH 137; or a 4 or 5 on the Advanced Placement AB or BC Calculus exam.",[],['Natural science and mathematics'],https://www.bkstr.com/webApp/discoverView?bookstore_id-1=1306&term_id-1=202110&div-1=&dept-1=PHYS&course-1=226&section-1=L1,
PHYS 226-L2,Principles of Physics I,Days: M,Time: 07:00 pm-09:00 pm,Room: OLRI 152,Instructor: Brian Adams,Avail./Max.: 16 / 16,"A study of motion, including Newton's Law of Motion, conservation of energy and momentum, rotational kinematics and dynamics, oscillations, waves in elastic media and thermal properties of matter. Three lectures and one two-hour laboratory per week. Students cannot receive credit for both this course and PHYS 221. Prerequisite(s): Concurrent or previous registration in MATH 135 or MATH 137; or a 4 or 5 on the Advanced Placement AB or BC Calculus exam.",[],['Natural science and mathematics'],https://www.bkstr.com/webApp/discoverView?bookstore_id-1=1306&term_id-1=202110&div-1=&dept-1=PHYS&course-1=226&section-1=L2,
PHYS 226-L3,Principles of Physics I,Days:  T,Time: 09:10 am-11:10 am,Room: OLRI 152,Instructor: Brian Adams,Avail./Max.: 16 / 16,"A study of motion, including Newton's Law of Motion, conservation of energy and momentum, rotational kinematics and dynamics, oscillations, waves in elastic media and thermal properties of matter. Three lectures and one two-hour laboratory per week. Students cannot receive credit for both this course and PHYS 221. Prerequisite(s): Concurrent or previous registration in MATH 135 or MATH 137; or a 4 or 5 on the Advanced Placement AB or BC Calculus exam.",[],['Natural science and mathematics'],https://www.bkstr.com/webApp/discoverView?bookstore_id-1=1306&term_id-1=202110&div-1=&dept-1=PHYS&course-1=226&section-1=L3,
PHYS 226-L4,Principles of Physics I,Days:  T,Time: 01:20 pm-03:20 pm,Room: OLRI 152,Instructor: Brian Adams,Avail./Max.: 16 / 16,"A study of motion, including Newton's Law of Motion, conservation of energy and momentum, rotational kinematics and dynamics, oscillations, waves in elastic media and thermal properties of matter. Three lectures and one two-hour laboratory per week. Students cannot receive credit for both this course and PHYS 221. Prerequisite(s): Concurrent or previous registration in MATH 135 or MATH 137; or a 4 or 5 on the Advanced Placement AB or BC Calculus exam.",[],['Natural science and mathematics'],https://www.bkstr.com/webApp/discoverView?bookstore_id-1=1306&term_id-1=202110&div-1=&dept-1=PHYS&course-1=226&section-1=L4,
PHYS 227-01,Principles of Physics II,Days: M W F,Time: 09:40 am-10:40 am,Room:,Instructor: John Cannon,Avail./Max.: 16 / 16,"A study of electric charge and currents, electric and magnetic fields, electromagnetic waves, and geometrical and physical optics. Three lectures and one two-hour laboratory per week. Students cannot receive credit for both this course andÂ PHYS 222. Prerequisite(s): PHYS 226  and MATH 137  (MATH 137 may also be taken concurrently).",['Quantitative Thinking Q3'],['Natural science and mathematics'],https://www.bkstr.com/webApp/discoverView?bookstore_id-1=1306&term_id-1=202110&div-1=&dept-1=PHYS&course-1=227&section-1=01,
PHYS 227-L1,Principles of Physics II,Days:    R,Time: 09:10 am-11:10 am,Room: OLRI 152,Instructor: Brian Adams,Avail./Max.: 16 / 16,"A study of electric charge and currents, electric and magnetic fields, electromagnetic waves, and geometrical and physical optics. Three lectures and one two-hour laboratory per week. Students cannot receive credit for both this course andÂ PHYS 222. Prerequisite(s): PHYS 226  and MATH 137  (MATH 137 may also be taken concurrently).",[],['Natural science and mathematics'],https://www.bkstr.com/webApp/discoverView?bookstore_id-1=1306&term_id-1=202110&div-1=&dept-1=PHYS&course-1=227&section-1=L1,
PHYS 227-L2,Principles of Physics II,Days:    R,Time: 01:20 pm-03:20 pm,Room: OLRI 152,Instructor: Brian Adams,Avail./Max.: 16 / 16,"A study of electric charge and currents, electric and magnetic fields, electromagnetic waves, and geometrical and physical optics. Three lectures and one two-hour laboratory per week. Students cannot receive credit for both this course andÂ PHYS 222. Prerequisite(s): PHYS 226  and MATH 137  (MATH 137 may also be taken concurrently).",[],['Natural science and mathematics'],https://www.bkstr.com/webApp/discoverView?bookstore_id-1=1306&term_id-1=202110&div-1=&dept-1=PHYS&course-1=227&section-1=L2,
PHYS 331-01,Modern Physics,Days: M W F,Time: 08:30 am-09:30 am,Room:,Instructor: James Heyman,Avail./Max.: 63 / 63,"This course provides an introductory treatment of the exciting foundations of modern microscopic physics, including special relativity, quantum theory, atomic structure, nuclear structure and elementary particles. The primary goal of the course is to build the solid theoretical foundation in microscopic physics necessary for advanced studies in nearly all science disciplines. In addition to the theoretical treatment of the topics there will be laboratory exercises, which recreate the spirit and excitement of the pioneering experiments. Three lectures, one three-hour laboratory per week. Prerequisite(s): PHYS 227.",['Quantitative Thinking Q2'],['Natural science and mathematics'],https://www.bkstr.com/webApp/discoverView?bookstore_id-1=1306&term_id-1=202110&div-1=&dept-1=PHYS&course-1=331&section-1=01,
PHYS 331-L1,Modern Physics,Days:    R,Time: 08:00 am-11:10 am,Room: OLRI 154,Instructor: James Heyman,Avail./Max.: 16 / 16,"This course provides an introductory treatment of the exciting foundations of modern microscopic physics, including special relativity, quantum theory, atomic structure, nuclear structure and elementary particles. The primary goal of the course is to build the solid theoretical foundation in microscopic physics necessary for advanced studies in nearly all science disciplines. In addition to the theoretical treatment of the topics there will be laboratory exercises, which recreate the spirit and excitement of the pioneering experiments. Three lectures, one three-hour laboratory per week. Prerequisite(s): PHYS 227.",[],['Natural science and mathematics'],https://www.bkstr.com/webApp/discoverView?bookstore_id-1=1306&term_id-1=202110&div-1=&dept-1=PHYS&course-1=331&section-1=L1,
PHYS 331-L2,Modern Physics,Days:  T,Time: 01:20 pm-04:30 pm,Room: OLRI 154,Instructor: James Heyman,Avail./Max.: 16 / 16,"This course provides an introductory treatment of the exciting foundations of modern microscopic physics, including special relativity, quantum theory, atomic structure, nuclear structure and elementary particles. The primary goal of the course is to build the solid theoretical foundation in microscopic physics necessary for advanced studies in nearly all science disciplines. In addition to the theoretical treatment of the topics there will be laboratory exercises, which recreate the spirit and excitement of the pioneering experiments. Three lectures, one three-hour laboratory per week. Prerequisite(s): PHYS 227.",[],['Natural science and mathematics'],https://www.bkstr.com/webApp/discoverView?bookstore_id-1=1306&term_id-1=202110&div-1=&dept-1=PHYS&course-1=331&section-1=L2,
PHYS 350-01,Renewable Energy Systems,Days: M W F,Time: 01:10 pm-02:10 pm,Room: OLRI 101,Instructor: James Doyle,Avail./Max.: 24 / 24,"This course provides an in-depth treatment of the science and engineering of power generation by solar and wind and their integration on the electrical grid using energy storage.  In the first part of the course general aspects of electrical grid energy production will be surveyed. The focus of the course will be an in-depth treatment of solar cell and wind turbines technologies, energy storage options, electrification of transportation, and emerging areas such as demand response and microgrids.  We will conclude with a discussion of current technical and economic issues associated with the wide scale implementation of these technologies. Prerequisite(s): Though there is no college level mathematical prerequisite, students should have mathematics preparation though elementary calculus (high school calculus or MATH 135). Not open to students who have taken PHYS 130​.",[],['Natural science and mathematics'],https://www.bkstr.com/webApp/discoverView?bookstore_id-1=1306&term_id-1=202110&div-1=&dept-1=PHYS&course-1=350&section-1=01,*Cross-listed with ENVI 350-01*
PHYS 443-01,Electromagnetic Theory,Days: M W F,Time: 01:10 pm-02:10 pm,Room:,Instructor: Anna Williams,Avail./Max.: 24 / 24,"This course treats the interactions between electrical charges in free space by developing the concepts of potential, electric and magnetic fields, and electromagnetic induction. Maxwell's equations are developed and used to derive the properties of plane electromagnetic waves in free space. Special emphasis is placed on boundary value problems and other useful mathematical techniques. Three lectures, 1 one-hour laboratory per week. Prerequisite(s): PHYS 227 and MATH 237 .",[],['Natural science and mathematics'],https://www.bkstr.com/webApp/discoverView?bookstore_id-1=1306&term_id-1=202110&div-1=&dept-1=PHYS&course-1=443&section-1=01,
PHYS 443-L1,Electromagnetic Theory Lab,Days: M,Time: 03:30 pm-04:30 pm,Room: OLRI 154,Instructor: James Doyle,Avail./Max.: 16 / 16,"This course treats the interactions between electrical charges in free space by developing the concepts of potential, electric and magnetic fields, and electromagnetic induction. Maxwell's equations are developed and used to derive the properties of plane electromagnetic waves in free space. Special emphasis is placed on boundary value problems and other useful mathematical techniques. Three lectures, 1 one-hour laboratory per week. Prerequisite(s): PHYS 227 and MATH 237 .",[],['Natural science and mathematics'],https://www.bkstr.com/webApp/discoverView?bookstore_id-1=1306&term_id-1=202110&div-1=&dept-1=PHYS&course-1=443&section-1=L1,
PHYS 481-01,Quantum Mechanics,Days: M W F,Time: 09:40 am-10:40 am,Room: OLRI 101,Instructor: Tonnis ter Veldhuis,Avail./Max.: 24 / 24,"The course rigorously covers many fundamental concepts of non-relativistic quantum mechanics, including the Heisenberg uncertainty principle and Pauli exclusion principle, single- and multi-particle stationary states in one, two, and three dimensions, and quantized angular momentum and spin. Schrodinger equation solutions for atomic and nuclear systems are studied, using differential equation, matrix, and perturbation techniques. Three lectures, 1 one-hour laboratory per week. Prerequisite(s): PHYS 331 and MATH 312 .",['Quantitative Thinking Q1'],['Natural science and mathematics'],https://www.bkstr.com/webApp/discoverView?bookstore_id-1=1306&term_id-1=202110&div-1=&dept-1=PHYS&course-1=481&section-1=01,
PHYS 481-L1,Quantum Mechanics Lab,Days:     F,Time: 03:30 pm-04:30 pm,Room: OLRI 154,Instructor: Tonnis ter Veldhuis,Avail./Max.: 16 / 16,"The course rigorously covers many fundamental concepts of non-relativistic quantum mechanics, including the Heisenberg uncertainty principle and Pauli exclusion principle, single- and multi-particle stationary states in one, two, and three dimensions, and quantized angular momentum and spin. Schrodinger equation solutions for atomic and nuclear systems are studied, using differential equation, matrix, and perturbation techniques. Three lectures, 1 one-hour laboratory per week. Prerequisite(s): PHYS 331 and MATH 312 .",[],['Natural science and mathematics'],https://www.bkstr.com/webApp/discoverView?bookstore_id-1=1306&term_id-1=202110&div-1=&dept-1=PHYS&course-1=481&section-1=L1,
PHYS 489-01,Physics Seminar,Days:   W,Time: 03:30 pm-04:30 pm,Room:,Instructor: Tonnis ter Veldhuis,Avail./Max.: 63 / 63,General Education Requirements:,[],['Natural science and mathematics'],https://www.bkstr.com/webApp/discoverView?bookstore_id-1=1306&term_id-1=202110&div-1=&dept-1=PHYS&course-1=489&section-1=01,
PHYS 494-01,Research in Astrophysics,Days:  T R,Time: 08:00 am-11:10 am,Room: OLRI 404,Instructor: John Cannon,Avail./Max.: 16 / 16,Selected topics in observational astrophysics.,[],[],https://www.bkstr.com/webApp/discoverView?bookstore_id-1=1306&term_id-1=202110&div-1=&dept-1=PHYS&course-1=494&section-1=01,*Permission of instructor required*
POLI 100-01,Foundations of US Politics,Days: M W F,Time: 01:10 pm-02:10 pm,Room:,Instructor: Patrick Schmidt,Avail./Max.: 25 / 25,"This course introduces the constitutional framework, political culture, branches of government, political behavior, and nongovernmental institutions (e.g. political parties, media, or interest groups) that dynamically shape American politics. Â Approaches vary by instructor, potentially including some mix of simulations, class debates, offsite observations, and comparative and critical examinations, but share a common set of objectives: 1) cultivating a broad and conversational understanding of key ideas, issues, and problems particular to American politics through classic and contemporary readings; 2) stimulating further inquiry into how American politics works and why it matters and 3) developing students' own reasoning, critical thinking, writing, and public speaking skills. This course is principally designed for beginning political science majors and non-majors who have not taken an AP course in US Government and Politics.",[],['Social science'],https://www.bkstr.com/webApp/discoverView?bookstore_id-1=1306&term_id-1=202110&div-1=&dept-1=POLI&course-1=100&section-1=01,
POLI 101-01,Political Argumentation and Debate,Days:  T R,Time: 03:00 pm-04:30 pm,Room:,Instructor: Adrienne Christiansen,Avail./Max.: 16 / 16,"The course introduces students to the study of argumentation or systematic reasoning about questions of public policy. How should we govern ourselves? Who gets to be a citizen? What limits should a society place on its citizens' behaviors? What freedoms should a society allow? Because these are questions over which reasonable people may disagree, coming up with mutually agreeable answers requires extensive public discussion and debate. The citizen who can discover reliable evidence, make sound arguments, and reason well in the face of strong counter-arguments also embodies the very notion of a liberally educated person. Students will develop their argumentation skills by focusing on congressional debates that have powerfully shaped the United States, including slavery, Indian removal, woman's rights, war powers, and impeachment. Â The course is well suited for students who wish to develop their analytic, oral, and written communication skills.",['Writing WA'],['Social science'],https://www.bkstr.com/webApp/discoverView?bookstore_id-1=1306&term_id-1=202110&div-1=&dept-1=POLI&course-1=101&section-1=01,*First-Year Course only*
POLI 120-01,Foundations of International Politics,Days: M W F,Time: 02:20 pm-03:20 pm,Room:,Instructor: Andrew Latham,Avail./Max.: 25 / 25,"This course has three broad goals. The first is to develop the foundational knowledge and conceptual literacy necessary to engage with International Relations' multidimensional concerns. These include issues such as world order, power, hierarchy, political violence, international law, development, religion, human rights, gender, humanitarianism and international organizations (such as the United Nations). The second is to introduce students to the different perspectives or intellectual frameworks for making sense of international relations (also known as global or world politics), including realist, liberal, constructivist, historical materialist, postcolonial and feminist approaches. The third is to encourage students to reflect on some of the ethical issues inherent in both the study and practice of international politics. Emphasis will also be placed on developing a range of critical, analytical, research and writing skills required for the further study of international politics. The course is thus intended to prepare students for advanced work in the field, although it is also appropriate for those merely seeking to satisfy an interest in the study of global politics.",[],['Social science'],https://www.bkstr.com/webApp/discoverView?bookstore_id-1=1306&term_id-1=202110&div-1=&dept-1=POLI&course-1=120&section-1=01,
POLI 140-01,Foundations of Comparative Politics,Days:  T R,Time: 01:20 pm-02:50 pm,Room:,Instructor: Lisa Mueller,Avail./Max.: 20 / 20,"In Comparative Politics we use comparison to analyze political outcomes within and across countries, Why do Mexican presidents exercise strong centralized authority while Brazilian presidents must contend with powerful governors? Why do Muslims and Hindus fight in some Indian states but not in others? Why does Rwanda have such a high proportion of female legislators whereas the U.S. has such a low proportion? When confronted with large-scale protests in their cities, do state security forces in China, Russia, and the United States respond with similar methods or do they differ? Through comparative analysis, students will learn to describe diverse political institutions, to propose explanations for divergent outcomes, and to evaluate scholarly and popular arguments about politics.","['Writing WA', 'Internationalism']",['Social science'],https://www.bkstr.com/webApp/discoverView?bookstore_id-1=1306&term_id-1=202110&div-1=&dept-1=POLI&course-1=140&section-1=01,
POLI 140-02,Foundations of Comparative Politics,Days:  T R,Time: 03:00 pm-04:30 pm,Room:,Instructor: Lisa Mueller,Avail./Max.: 20 / 20,"In Comparative Politics we use comparison to analyze political outcomes within and across countries, Why do Mexican presidents exercise strong centralized authority while Brazilian presidents must contend with powerful governors? Why do Muslims and Hindus fight in some Indian states but not in others? Why does Rwanda have such a high proportion of female legislators whereas the U.S. has such a low proportion? When confronted with large-scale protests in their cities, do state security forces in China, Russia, and the United States respond with similar methods or do they differ? Through comparative analysis, students will learn to describe diverse political institutions, to propose explanations for divergent outcomes, and to evaluate scholarly and popular arguments about politics.","['Writing WA', 'Internationalism']",['Social science'],https://www.bkstr.com/webApp/discoverView?bookstore_id-1=1306&term_id-1=202110&div-1=&dept-1=POLI&course-1=140&section-1=02,
POLI 160-01,Foundations of Political Theory,Days: M W F,Time: 10:50 am-11:50 am,Room:,Instructor: David Blaney,Avail./Max.: 20 / 20,"An examination of the evolution of influential political concepts and theories from ancient cultures to the present day, by those writing in/from/to the West. Introduction through textual analysis to historical and contemporary understandings of key terms such as authority, legitimacy, liberty, republicanism, democracy, revolution and ""the good."" Additionally, the course provides an introduction to political theory methods of analysis and critique, through the development of skills in reading, critical thinking, and writing.",['Writing WA'],['Social science'],https://www.bkstr.com/webApp/discoverView?bookstore_id-1=1306&term_id-1=202110&div-1=&dept-1=POLI&course-1=160&section-1=01,
POLI 202-01,US Campaigns and Elections,Days: M W F,Time: 10:50 am-11:50 am,Room:,Instructor: Julie Dolan,Avail./Max.: 16 / 16,"Analysis of institutions and procedures such as parties and elections, and also informal activities such as social movements, interest groups, and community action.",[],['Social science'],https://www.bkstr.com/webApp/discoverView?bookstore_id-1=1306&term_id-1=202110&div-1=&dept-1=POLI&course-1=202&section-1=01,*First-Year Course only*
POLI 203-01,Politics and Inequality: The American Welfare State,Days: M W F,Time: 02:20 pm-03:20 pm,Room:,Instructor: Lesley Lavery,Avail./Max.: 25 / 25,"The readings and assignments in this course are designed to help students understand how social policies and programs contribute to Americans' lived experiences.Â  We will examine various theoretical justifications for the policies that constitute the American welfare state, then confront and dissect major strands of the American social safety net to better understand how political institutions and policy mechanisms contribute to both diversity and inequality in individuals' social, economic and political outcomes (based in race, class, gender, dis/ability, region, political jurisdiction, etc.).","['Writing WP', 'U.S. Identities and Differences']",['Social science'],https://www.bkstr.com/webApp/discoverView?bookstore_id-1=1306&term_id-1=202110&div-1=&dept-1=POLI&course-1=203&section-1=01,*Cross-listed with AMST 203-01*
POLI 205-01,US Politics and Policymaking,Days:  T R,Time: 09:40 am-11:10 am,Room:,Instructor: Lesley Lavery,Avail./Max.: 20 / 20,"The course examines the American public policy process through a case study apparoach. Attention wil be paid to issues of policy formation and implementation with a forcus on the role and interaction of national and state institutions. The United Sates government is a large, complex system of multiple institutions that share power and authority and govern across multiple issue dimensions. To understand the policy process in this context we will 1) Discuss foundational theories of the policy process; 2) Examine several case studies designed to engage these theories and debate their practical application, and 3) Become ""experts"" in a particular policy area as each student prepares a presentation on that topic and presents politically viable solutions.   This course will focus on writing for a variety of audiences and leave students well-prepared to apply for policy-oriented scholarships, fellowships and jobs.",['Writing WA'],['Social science'],https://www.bkstr.com/webApp/discoverView?bookstore_id-1=1306&term_id-1=202110&div-1=&dept-1=POLI&course-1=205&section-1=01,
POLI 212-01,Litigation and Public Policy in the U.S.,Days: M W F,Time: 10:50 am-11:50 am,Room:,Instructor: Patrick Schmidt,Avail./Max.: 25 / 25,"This course explores the significance, possibilities and limits of litigation as a way of shaping public policy and society. Focusing mainly in the American context, the course connects two areas of interest: the use of litigation as a strategy for rights movements (from the NAACP to contemporary movements such as gay rights) and the use of class action lawsuits and tort law to compensate people for injuries, especially in matters affecting public health (e.g. asbestos, tobacco). The course gives special emphasis to the work of lawyers and the role of the legal profession.",[],['Social science'],https://www.bkstr.com/webApp/discoverView?bookstore_id-1=1306&term_id-1=202110&div-1=&dept-1=POLI&course-1=212&section-1=01,
POLI 221-01,Global Governance,Days:  T R,Time: 01:20 pm-02:50 pm,Room:,Instructor: Wendy Weber,Avail./Max.: 25 / 25,"This course is designed to introduce students to global governance. It begins with a discussion of the concept of global governance. It then turns to some of the central features of contemporary global governance, including the changing status of the state and of international/world organizations and the role of global civil society. The emphasis here is on how patterns of global governance have changed and are changing and on the implications of these changes for democracy, social justice, etc. The remainder of the course focuses on the areas of international peace and security, human rights and international humanitarian law, and economic governance. By addressing such topics as the International Criminal Court and the role of the IMF and the World Bank in economic development, these parts of the course highlight the contested nature of global governance in each of the three issue areas. Prerequisite(s): POLI 120 recommended.",['Internationalism'],['Social science'],https://www.bkstr.com/webApp/discoverView?bookstore_id-1=1306&term_id-1=202110&div-1=&dept-1=POLI&course-1=221&section-1=01,
POLI 244-01,Urban Latino Power,Days:  T R,Time: 01:20 pm-02:50 pm,Room:,Instructor: Paul Dosh,Avail./Max.: 20 / 20,"Comparative study of Latinx political struggles in the United States.  We will explore the themes of subordination and empowerment through issues such as anti-immigrant ballot initiatives in California, the election of Latino mayors in Denver and San Antonio, Cuban dominance in Miami politics, multiracial violence in Los Angeles, and battles over labor conditions, affirmative action, bi-lingual education, and racial profiling.  Student projects may involve field research among Latinx communities and organizations in the Twin Cities.","['Writing WA', 'U.S. Identities and Differences']",['Social science'],https://www.bkstr.com/webApp/discoverView?bookstore_id-1=1306&term_id-1=202110&div-1=&dept-1=POLI&course-1=244&section-1=01,*First day attendance required; cross-listed with AMST 244-01 and LATI 244-01*
POLI 265-01,"Work, Wealth, Well-Being",Days: M W F,Time: 01:10 pm-02:10 pm,Room:,Instructor: David Blaney,Avail./Max.: 20 / 20,"Wealth has held an allure for many modern thinkers; the creation of a wealthy society often associated with ""civilization"" itself. The relationships among work, wealth and well-being are a perennial concern and have been central to the study of political economy, since its inception in the mid- to late-18th century. How does work produce wealth for the individual and for society? How, or when, does individual and social wealth translate into individual and/or social well-being? And, how does the character of work affect individual well-being or happiness? This course will examine the answers given to these questions (and myriad corollary questions) by writers within the political economy tradition.",['Writing WA'],['Social science'],https://www.bkstr.com/webApp/discoverView?bookstore_id-1=1306&term_id-1=202110&div-1=&dept-1=POLI&course-1=265&section-1=01,
POLI 266-01,Medieval Political Thought,Days: M W F,Time: 09:40 am-10:40 am,Room:,Instructor: Andrew Latham,Avail./Max.: 25 / 25,"This course deals with the political thought of Latin Christendom (Western Europe) during the later Middle Ages (c. 1050 - c. 1550). This body of thought is worthy of sustained study for two reasons. First, it is one of the glories of human civilization. In seeking to answer the timeless question ""how we should live our lives as individuals"" and ""how we should live together in peace and justice"" late medieval political thinkers produced a body of political thought second to none in the history of human philosophical speculation. Second, late medieval political thought is worthy of study because it gave rise to many of the concepts that continue to shape our collective lives today (including state sovereignty, separation of church and state, constitutionalism, just war, property rights, ""the people,"" nationalism, democracy, rule-of-law, and human rights). Indeed, it is impossible to really understand contemporary political life without delving deeply into the way in which late medieval thinkers engaged with the big political issues of their day. The main goal of this course is to provide a solid introduction to the political thought of this crucially important era in human history. In it, we will critically examine the relevant works of thinkers such as St. Augustine, St. Thomas Aquinas, John of Paris, Marsilius of Padua, Bartolus of Sasseferato, and Baldus de Ubaldi. To the extent that they shed light on late medieval thought, we will also touch on classical political theorists such as Aristotle and Cicero as well as Muslim and Jewish thinkers such as ibn Sina, Moshe ben Maimon, and ibn Rusd.",[],['Social science'],https://www.bkstr.com/webApp/discoverView?bookstore_id-1=1306&term_id-1=202110&div-1=&dept-1=POLI&course-1=266&section-1=01,
POLI 268-01,Contemporary Social and Political Philosophy,Days: M W F,Time: 01:10 pm-02:10 pm,Room:,Instructor: William Wilcox,Avail./Max.: 15 / 15,"This course will focus on some central topics in contemporary Anglo-American (or ""analytic"") social and political philosophy. Likely topics would include an examination of John Rawls's theory of justice and the work of critics of that theory, the value of equality, and issues about global justice. Prerequisite(s): A 100- or 200- level Philosophy course.",[],['Humanities'],https://www.bkstr.com/webApp/discoverView?bookstore_id-1=1306&term_id-1=202110&div-1=&dept-1=POLI&course-1=268&section-1=01,*Cross-listed with PHIL 321-01*
POLI 269-01,Empirical Research Methods,Days:  T R,Time: 09:40 am-11:10 am,Room:,Instructor: Lisa Mueller,Avail./Max.: 25 / 25,"This course will equip you with the skills and intuition to think about politics in a more critical and organized way.  You will practice the scientific method - identifying a problem worthy of study, developing testable hypotheses, designing a research strategy, gathering data, analyzing data, and interpreting your results - and contemplate the philosophical conundrums that underlie our efforts to describe, explain, and interpret complex phenomena.  Every Semester. (4 credits) Empirical Methods: The department requires its majors to take one course in empirical research methodology, preferably before their junior year. There are a number of courses that fulfill this requirement, including: POLI 272, SOCI 269, SOCI 270, SOCI 275. In some cases, research methods courses taken in other social science disciplines may be used to fulfill this requirement following approval by the political science department chair.",['Quantitative Thinking Q3'],['Social science'],https://www.bkstr.com/webApp/discoverView?bookstore_id-1=1306&term_id-1=202110&div-1=&dept-1=POLI&course-1=269&section-1=01,
POLI 270-01,Rhetoric of Campaigns and Election,Days: M W F,Time: 10:50 am-11:50 am,Room:,Instructor: Adrienne Christiansen,Avail./Max.: 20 / 20,"The course examines the range of persuasive language strategies and symbol use in Presidential or congressional elections. Students design a comprehensive communication plan for a real candidate running for office. Students produce campaign rhetoric such as prospectus for institutional donors, press releases, direct mail appeals, bumper stickers, scripts for radio/television ads, scripts for fundraising phone banks, and a candidate stump speech.",['Writing WA'],['Social science'],https://www.bkstr.com/webApp/discoverView?bookstore_id-1=1306&term_id-1=202110&div-1=&dept-1=POLI&course-1=270&section-1=01,
POLI 272-01,Persuasion and Political Change,Days:  T R,Time: 09:40 am-11:10 am,Room:,Instructor: Adrienne Christiansen,Avail./Max.: 20 / 20,"A study of how presidents, politicians, and social movement activists worldwide use language and persuasive symbols to increase their influence and bring about social and political change. Students complete a semester-long project in which they analyze a significant political text utilizing descriptive-analytic, historical-contextual, critical, and interpretive research methods. This course is well-suited for students wanting to undertake a significant research project and develop their skills in academic writing. It fulfills the department's research methods requirement.",['Writing WA'],['Social science'],https://www.bkstr.com/webApp/discoverView?bookstore_id-1=1306&term_id-1=202110&div-1=&dept-1=POLI&course-1=272&section-1=01,
POLI 282-01,Political Science Practicum,Days:  T,Time: 08:00 am-09:30 am,Room:,Instructor: Lesley Lavery,Avail./Max.: 25 / 25,"This course should be paired with a 2-4 credit intensive internship experience (8-10 hours/week) with a government institution, non-profit, campaign or other political-science-related organization. Students will work with a faculty member and internship cohort to apply classroom knowledge, learn more about a specific area of political science or a related field, and explore potential career paths.Â  Shared readings, responses to a series of writing prompts and a culminating public presentation will ensure students meet personal goals for the internship experience. Political Science majors who are not planning to complete the practicum requirement through Legislative Politics or the Chuck Green Fellowship should plan to complete this course during their sophomore or junior year.",[],['Social science'],https://www.bkstr.com/webApp/discoverView?bookstore_id-1=1306&term_id-1=202110&div-1=&dept-1=POLI&course-1=282&section-1=01,*Permission of instructor required; 2 credits*
